City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,shache,38.4167,77.2406,74.61,12,39,6.85,CN,1681384940
198,ryazhsk,53.7038,40.1109,60.64,31,100,19.1,RU,1681384941
199,swan hill,-35.3378,143.5544,64.15,60,31,4.21,AU,1681384941
200,north bend,43.4065,-124.2243,37.85,94,0,8.05,US,1681384942
201,taltal,-25.4,-70.4833,63.5,81,6,3.24,CL,1681384942
202,verkhnevilyuysk,63.4453,120.3167,18.23,91,76,3.29,RU,1681384943
203,mabaruma,8.2,-59.7833,77.09,82,58,2.55,GY,1681384943
204,kahului,20.8947,-156.47,74.84,77,20,8.99,US,1681384859
205,college,64.8569,-147.8028,13.06,85,100,4.61,US,1681384944
206,codrington,-38.2667,141.9667,58.62,87,1,8.34,AU,1681384944
207,baykalsk,51.5058,104.1469,27.21,77,38,3.85,RU,1681384944
208,tongchuan,35.0806,109.0897,60.96,72,64,1.34,CN,1681384944
209,biskamzha,53.4497,89.5272,35.11,77,100,8.97,RU,1681384945
210,san jeronimo,-11.9472,-75.2829,46.92,89,96,1.97,PE,1681384945
211,pahrump,36.2083,-115.9839,59.31,45,100,7.0,US,1681384945
212,cayenne,4.9333,-52.3333,77.04,94,75,3.44,GF,1681384945
213,dingle,10.9995,122.6711,78.87,80,65,1.77,PH,1681384945
214,chuy,-33.6971,-53.4616,55.53,81,95,7.34,UY,1681384946
215,nicosia,35.1667,33.3667,71.69,32,40,18.41,CY,1681384848
216,aklavik,68.2191,-135.0107,-4.5,85,100,6.46,CA,1681384946
217,coquimbo,-29.9533,-71.3436,55.13,100,100,5.75,CL,1681384946
218,phek,25.6667,94.5,73.45,21,0,3.67,IN,1681384947
219,baruun-urt,46.6806,113.2792,46.56,18,69,16.89,MN,1681384947
220,ryde,50.73,-1.1621,55.71,66,10,8.99,GB,1681384947
221,astana,51.1801,71.446,64.35,20,0,13.42,KZ,1681384947
222,ixtapa,20.7,-105.2,68.23,75,75,4.05,MX,1681384948
223,areka,7.0667,37.7,79.72,40,86,3.96,ET,1681384948
224,zhangye,38.9342,100.4517,51.98,28,100,0.58,CN,1681384948
225,saldanha,-33.0117,17.9442,66.25,80,75,9.42,ZA,1681384948
226,kulhudhuffushi,6.6221,73.07,83.77,71,10,6.4,MV,1681384949
227,tukrah,32.5341,20.5791,71.31,38,0,13.31,LY,1681384949
228,sabha,27.0377,14.4283,79.97,9,7,10.94,LY,1681384949
229,soe,-9.8607,124.284,68.54,95,82,1.72,ID,1681384950
230,andros town,24.7,-77.7667,73.36,76,76,9.48,BS,1681384950
231,derzhavinsk,51.1,66.3167,65.12,31,100,9.06,KZ,1681384951
232,pingliang,35.5392,106.6861,63.12,30,90,16.2,CN,1681384951
233,yellowknife,62.456,-114.3525,14.52,92,0,5.75,CA,1681384849
234,kosh-agach,50.0,88.6667,28.65,55,88,2.86,RU,1681384951
235,geraldton,-28.7667,114.6,68.41,88,75,14.97,AU,1681384786
236,mehamn,71.0357,27.8492,35.55,69,0,20.71,NO,1681384951
237,mont-dore,-22.2833,166.5833,81.0,99,100,4.0,NC,1681384952
238,half moon bay,37.4636,-122.4286,50.31,81,0,11.5,US,1681384952
239,merauke,-8.4667,140.3333,79.16,84,100,1.45,ID,1681384952
240,bandarbeyla,9.4942,50.8122,85.8,65,63,10.65,SO,1681384953
241,new baltimore,42.6811,-82.7369,63.63,59,0,8.05,US,1681384954
242,manavalakurichi,8.1333,77.3,86.14,66,23,7.02,IN,1681384954
243,lata,40.1629,-8.3327,59.07,61,100,6.13,PT,1681384954
244,nouakchott,18.0858,-15.9785,84.13,51,70,3.83,MR,1681384955
245,zverinogolovskoye,54.4586,64.8542,61.39,26,25,15.41,RU,1681384955
246,visby,57.6409,18.296,54.05,66,0,16.11,SE,1681384955
247,karratha,-20.7377,116.8463,86.18,63,100,2.44,AU,1681384956
248,nantucket,41.2835,-70.0995,53.65,83,0,6.91,US,1681384956
249,vardo,70.3705,31.1107,31.98,69,0,25.32,NO,1681384956
250,ludvika,60.1496,15.1878,50.34,81,100,12.59,SE,1681384956
251,micheweni,-4.9667,39.8333,84.54,68,81,1.97,TZ,1681384956
252,yuancheng,36.652,107.7896,59.18,21,88,21.23,CN,1681384957
253,hanna,51.6334,-111.9018,32.94,71,2,2.84,CA,1681384957
254,hithadhoo,-0.6,73.0833,83.48,67,7,2.13,MV,1681384957
255,mayo,38.8876,-76.5119,66.15,61,0,1.01,US,1681384957
256,khatanga,71.9667,102.5,0.48,84,64,6.67,RU,1681384958
257,lavumisa,-27.31,31.892,91.67,22,0,4.43,SZ,1681384958
258,adrar,20.5022,-10.0711,88.14,16,32,9.93,MR,1681384958
259,san cristobal,7.7669,-72.225,66.38,88,100,1.61,VE,1681384958
260,sterling,39.0062,-77.4286,63.41,62,0,3.44,US,1681384846
261,bilma,18.6853,12.9164,87.62,7,27,2.91,NE,1681384959
262,todos santos,23.45,-110.2167,61.66,87,99,10.47,MX,1681384959
263,akyab,20.15,92.9,85.78,66,2,13.2,MM,1681384959
264,havre-saint-pierre,50.2334,-63.5986,37.4,87,20,6.91,CA,1681384960
265,ancud,-41.8697,-73.8203,48.0,81,100,6.53,CL,1681384960
266,zhezkazgan,47.8043,67.7144,67.98,24,20,17.9,KZ,1681384961
267,pevek,69.7008,170.3133,0.0,97,100,0.67,RU,1681384961
268,paraipaba,-3.4394,-39.1483,78.08,77,98,6.17,BR,1681384954
269,nanortalik,60.1432,-45.2371,33.62,86,100,1.23,GL,1681384961
270,diamantino,-14.4086,-56.4461,72.66,92,90,3.98,BR,1681384961
271,oussouye,12.485,-16.5469,86.09,40,100,8.16,SN,1681384962
272,port arthur,38.8,121.2667,53.82,69,100,7.96,CN,1681384962
273,kashan,33.9831,51.4364,81.99,29,100,18.41,IR,1681384962
274,najran,17.4924,44.1277,92.05,19,10,5.06,SA,1681384962
275,broken hill,-31.95,141.4333,61.14,62,0,10.56,AU,1681384963
276,daru,-9.0763,143.2092,78.13,87,96,3.31,PG,1681384963
277,roebourne,-20.7833,117.1333,86.77,61,100,10.69,AU,1681384963
278,winnemucca,40.973,-117.7357,24.85,68,0,0.0,US,1681384963
279,saint-joseph,-21.3667,55.6167,84.58,78,22,1.9,RE,1681384963
280,katsuura,35.1333,140.3,58.93,68,0,13.02,JP,1681384964
281,mount gambier,-37.8333,140.7667,57.29,90,44,4.79,AU,1681384964
282,iwanai,42.9744,140.5089,41.07,59,26,6.49,JP,1681384964
283,road town,18.4167,-64.6167,78.89,73,40,5.75,VG,1681384964
284,kungurtug,50.5994,97.5228,27.88,57,41,1.54,RU,1681384965
285,kankakee,41.15,-87.8667,53.29,76,29,6.91,US,1681384608
286,weinan,34.5036,109.5089,64.02,74,83,4.07,CN,1681384965
287,caxias do sul,-29.1681,-51.1794,62.33,97,70,2.48,BR,1681384763
288,iquitos,-3.7481,-73.2472,75.24,100,40,2.3,PE,1681384966
289,bilibino,68.0546,166.4372,-5.53,97,100,3.51,RU,1681384966
290,cordoba,-31.4135,-64.1811,56.19,97,100,3.44,AR,1681384795
291,bedele,8.456,36.353,81.09,29,100,6.69,ET,1681384966
292,ust-omchug,61.15,149.6333,1.6,93,6,4.45,RU,1681384966
293,guerrero negro,27.9769,-114.0611,55.47,80,66,13.11,MX,1681384677
294,saint stephen,50.3333,-4.9,52.03,81,40,13.8,GB,1681384967
295,shiojiri,36.1,137.9667,47.34,59,13,5.39,JP,1681384967
296,vanimo,-2.6741,141.3028,78.87,86,37,5.5,PG,1681384967
297,awbari,26.5921,12.7805,81.66,8,32,9.73,LY,1681384967
298,tommot,58.9564,126.2925,26.33,94,100,2.24,RU,1681384968
299,salalah,17.0151,54.0924,87.89,66,20,11.5,OM,1681384968
300,sobolevo,54.4299,31.8996,58.69,40,100,13.89,RU,1681384968
301,dabakala,8.3667,-4.4333,92.12,45,40,6.29,CI,1681384968
302,valdez,1.2492,-78.9831,77.25,87,77,4.85,EC,1681384969
303,sur,22.5667,59.5289,85.55,48,25,4.74,OM,1681384969
304,kismayo,-0.3582,42.5454,87.22,61,96,12.73,SO,1681384969
305,plettenberg bay,-34.0527,23.3716,67.64,53,46,10.49,ZA,1681384970
306,meulaboh,4.1363,96.1285,82.18,79,97,4.34,ID,1681384970
307,goundam,16.4145,-3.6708,99.01,8,92,17.49,ML,1681384970
308,goderich,43.7501,-81.7165,61.12,51,3,13.8,CA,1681384874
309,sisimiut,66.9395,-53.6735,22.12,86,73,4.25,GL,1681384971
310,doka,13.5167,35.7667,103.5,18,12,10.42,SD,1681384971
311,kavaratti,10.5669,72.642,84.11,71,100,4.34,IN,1681384971
312,saint-georges,12.0564,-61.7485,76.78,79,90,11.21,GD,1681384972
313,kalaswala,32.2009,74.6491,96.76,12,0,7.45,PK,1681384972
314,zalantun,48.0,122.7167,44.67,29,10,8.79,CN,1681384972
315,baoning,25.3378,110.026,75.06,78,100,4.47,CN,1681384972
316,deputatskiy,69.3,139.9,-2.79,99,71,2.3,RU,1681384973
317,kuching,1.55,110.3333,84.42,74,20,4.61,MY,1681384973
318,zimovniki,47.1483,42.4633,57.7,68,100,20.18,RU,1681384973
319,abadan,30.3392,48.3043,75.15,43,75,11.5,IR,1681384973
320,wilkie,52.4168,-108.7014,23.38,73,2,4.9,CA,1681384973
321,bidar,17.9,77.55,100.4,15,100,7.31,IN,1681384839
322,chenzhou,25.8,113.0333,77.49,77,30,5.64,CN,1681384974
323,elk city,35.412,-99.4043,53.82,76,0,13.8,US,1681384974
324,myre,69.1036,15.9492,46.35,72,6,13.31,NO,1681384974
325,labuhan,-6.8844,112.2051,79.95,85,100,5.12,ID,1681384975
326,iqaluit,63.7506,-68.5145,11.93,85,100,1.99,CA,1681384975
327,padilla,3.2204,-76.3139,65.77,91,100,3.44,CO,1681384975
328,lompoc,34.6391,-120.4579,48.02,80,0,18.99,US,1681384975
329,stranda,62.3096,6.9358,53.94,56,100,4.56,NO,1681384975
330,praia,14.9215,-23.5087,79.34,61,20,11.5,CV,1681384976
331,narsaq,60.9167,-46.05,34.02,73,99,2.26,GL,1681384976
332,manbij,36.5281,37.9549,61.2,47,37,16.06,SY,1681384976
333,grindavik,63.8424,-22.4338,41.47,65,40,9.22,IS,1681384976
334,itarema,-2.9248,-39.9167,79.05,80,77,8.08,BR,1681384976
335,darhan,49.4867,105.9228,33.84,39,87,5.91,MN,1681384977
336,burns lake,54.2331,-125.7533,27.82,94,100,3.42,CA,1681384977
337,gizo,-8.103,156.8419,80.76,79,96,8.05,SB,1681384977
338,aitape,-3.1374,142.3475,79.75,85,76,4.99,PG,1681384977
339,antalaha,-14.9003,50.2788,83.98,65,48,7.92,MG,1681384977
340,saint andrews,34.0454,-81.1293,50.25,93,40,0.0,US,1681384977
341,hoa binh,20.8133,105.3383,82.22,83,84,7.4,VN,1681384978
342,odweyne,9.4092,45.064,83.03,40,100,4.16,SO,1681384978
343,tibiri,13.5627,7.0485,97.14,10,52,13.8,NE,1681384978
344,beringovskiy,63.05,179.3167,-4.88,98,94,7.0,RU,1681384978
345,kisanga,-7.4362,37.7034,88.3,57,99,5.32,TZ,1681384979
346,dwarka,22.2394,68.9678,84.65,55,86,14.27,IN,1681384979
347,gilgit,35.9221,74.3087,66.27,37,0,2.66,PK,1681384979
348,florence,43.7667,11.25,62.92,59,40,13.8,IT,1681384979
349,tecoanapa,16.5167,-98.75,76.39,67,41,2.77,MX,1681384979
350,kamenka,51.3223,42.7678,53.78,61,100,24.96,RU,1681384980
351,leirvik,59.7798,5.5005,50.86,86,75,17.27,NO,1681384980
352,santa fe,-31.6333,-60.7,60.03,85,85,8.99,AR,1681384707
353,independence,39.0911,-94.4155,58.95,68,0,8.05,US,1681384754
354,taoudenni,22.6783,-3.9836,93.2,7,43,9.42,ML,1681384980
355,verkhnyaya inta,65.9811,60.3094,8.33,72,96,8.39,RU,1681384981
356,ifakara,-8.1333,36.6833,84.0,71,90,3.29,TZ,1681384981
357,rapid valley,44.0625,-103.1463,39.76,70,0,11.5,US,1681384981
358,waipawa,-41.4122,175.5153,54.5,85,99,3.94,NZ,1681384982
359,florian,5.8049,-73.9703,60.15,94,100,3.42,CO,1681384982
360,lodja,-3.4833,23.4333,92.12,41,93,3.06,CD,1681384982
361,myitkyina,25.3833,97.4,97.59,14,0,3.04,MM,1681384983
362,bafq,31.6128,55.4107,86.02,18,100,24.72,IR,1681384985
363,portland,45.5234,-122.6762,40.86,92,100,1.99,US,1681384522
364,zabid,14.1951,43.3152,93.92,44,53,17.43,YE,1681384986
365,gat,31.61,34.7642,61.48,100,88,21.7,IL,1681384986
366,itaborai,-22.7444,-42.8594,74.8,77,3,2.1,BR,1681384986
